shoulder_pan_joint,shoulder_lift_joint,elbow_joint,wrist_1_joint,wrist_2_joint,wrist_3_joint,robotiq_85_left_inner_knuckle_joint,robotiq_85_left_knuckle_joint,robotiq_85_right_inner_knuckle_joint,robotiq_85_right_knuckle_joint,robotiq_85_left_finger_tip_joint,robotiq_85_right_finger_tip_joint
1.45809,-1.05423,1.06763,-1.73939,-2.47077,1.62315,0.0162215,0.0162133,0.0162215,0.0162215,-0.0162215,-0.0162215
1.4622,-1.04667,1.08155,-1.74571,-2.4879,1.63101,0.0157766,0.0157686,0.0157766,0.0157766,-0.0157766,-0.0157766
1.46636,-1.03901,1.09565,-1.75213,-2.50527,1.63898,0.0153257,0.015318,0.0153257,0.0153257,-0.0153257,-0.0153257
1.47057,-1.03125,1.10994,-1.75862,-2.52285,1.64704,0.0148692,0.0148616,0.0148692,0.0148692,-0.0148692,-0.0148692
1.47484,-1.0234,1.1244,-1.76519,-2.54065,1.65521,0.0144071,0.0143998,0.0144071,0.0144071,-0.0144071,-0.0144071
1.47915,-1.01545,1.13902,-1.77184,-2.55865,1.66346,0.0139397,0.0139326,0.0139397,0.0139397,-0.0139397,-0.0139397
1.48351,-1.00743,1.15381,-1.77857,-2.57685,1.67181,0.0134671,0.0134603,0.0134671,0.0134671,-0.0134671,-0.0134671
1.48792,-0.999312,1.16875,-1.78536,-2.59524,1.68025,0.0129896,0.0129831,0.0129896,0.0129896,-0.0129896,-0.0129896
1.49237,-0.991117,1.18383,-1.79222,-2.61381,1.68877,0.0125074,0.012501,0.0125074,0.0125074,-0.0125074,-0.0125074
1.49686,-0.982845,1.19907,-1.79914,-2.63256,1.69737,0.0120205,0.0120144,0.0120205,0.0120205,-0.0120205,-0.0120205
1.50139,-0.974498,1.21444,-1.80613,-2.65148,1.70605,0.0115293,0.0115235,0.0115293,0.0115293,-0.0115293,-0.0115293
1.50597,-0.96608,1.22994,-1.81318,-2.67056,1.7148,0.0110339,0.0110283,0.0110339,0.0110339,-0.0110339,-0.0110339
1.51058,-0.957594,1.24556,-1.82028,-2.68979,1.72362,0.0105345,0.0105292,0.0105345,0.0105345,-0.0105345,-0.0105345
1.51522,-0.949044,1.2613,-1.82744,-2.70917,1.73251,0.0100313,0.0100262,0.0100313,0.0100313,-0.0100313,-0.0100313
1.5199,-0.940432,1.27716,-1.83465,-2.72869,1.74147,0.00952448,0.00951965,0.00952448,0.00952448,-0.00952448,-0.00952448
